Song,Title,Book,Length,Offset,Start,End
FOOTPRINTS                     ,FOOTPRINTS - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,105,105
FOUR                           ,FOUR - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,106,107
FOUR BROTHERS                  ,FOUR BROTHERS - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,108,108
FOUR ON SIX                    ,FOUR ON SIX - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,109,109
FRIENDS AND STRANGERS          ,FRIENDS AND STRANGERS - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,110,111
FUNKALLERO                     ,FUNKALLERO - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,113,113
GAVIOTA                        ,GAVIOTA - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,114,115
GEE BABY  AIN'T I GOOD TO YOU  ,GEE BABY AIN'T I GOOD TO YOU - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,117,117
GEMINI                         ,GEMINI - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,118,119
GLORIA'S STEP                  ,GLORIA'S STEP - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,121,121
GOIN' HOME                     ,GOIN' HOME - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,122,123
GONE WITH THE WIND             ,GONE WITH THE WIND - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,125,125
THE GOODBYE LOOK               ,THE GOODBYE LOOK - Eb Item nrb1,The New Real Book Eb I.pdf,4,0,126,129
GUARLTJA                       ,GUARLTJA - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,130,131
HALLUCINATIONS                 ,HALLUCINATIONS - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,132,133
HAUNTED BALLROOM               ,HAUNTED BALLROOM - Eb Item nrb1,The New Real Book Eb I.pdf,1,1,135,135
HAVONA                         ,HAVONA - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,136,136
HERE'S THAT RAINY DAY          ,HERE'S THAT RAINY DAY - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,137,137
HIDEAWAY                       ,HIDEAWAY - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,138,138
I LOVE LUCY                    ,I LOVE LUCY - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,139,139
I MEAN YOU                     ,I MEAN YOU - Eb Item nrb1,The New Real Book Eb I.pdf,2,0,140,141
I SHOULD CARE                  ,I SHOULD CARE - Eb Item nrb1,The New Real Book Eb I.pdf,1,0,142,142
