Title,File,Start Page,End Page,Key,Composer,
Gypsy In My Soul,HalLeonardRealBook-Bb-v1.pdf,169,169,Bb,Clay Booland/Moe Jaffe/Clay Boland,Gypsy In My Soul (Bb)
Half Nelson,HalLeonardRealBook-Bb-v1.pdf,170,171,Bb,Miles Davis,Half Nelson (Bb)
Have You Met Miss Jones,HalLeonardRealBook-Bb-v1.pdf,172,172,Bb,Richard Rodgers/Lorenz Hart,Have You Met Miss Jones (Bb)
Heaven,HalLeonardRealBook-Bb-v1.pdf,173,173,Bb,Duke Ellington,Heaven (Bb)
Heebie Jeebies,HalLeonardRealBook-Bb-v1.pdf,174,174,Bb,Boyd Atkins,Heebie Jeebies (Bb)
Here's That Rainy Day,HalLeonardRealBook-Bb-v1.pdf,175,175,Bb,Jimmy Van Heusen/Johnny Burke,Here's That Rainy Day (Bb)
Hello Young Lovers,HalLeonardRealBook-Bb-v1.pdf,176,177,Bb,Richard Rodgers/Oscar Hammerstein,Hello Young Lovers (Bb)
Hot Toddy,HalLeonardRealBook-Bb-v1.pdf,178,178,Bb,Herb Hendler/Ralph Flanagan,Hot Toddy (Bb)
House Of Jade,HalLeonardRealBook-Bb-v1.pdf,179,179,Bb,Wayne Shorter,House Of Jade (Bb)
How High The Moon,HalLeonardRealBook-Bb-v1.pdf,180,180,Bb,Morgan Lewis/Nancy Hamilton,How High The Moon (Bb)
How Insensitive,HalLeonardRealBook-Bb-v1.pdf,181,181,Bb,Antonio Carlos Jobim/Norman Gimbel/Vinicius De Moraes,How Insensitive (Bb)
How My Heart Sings,HalLeonardRealBook-Bb-v1.pdf,182,182,Bb,Earl Zindars/Anne Zindars,How My Heart Sings (Bb)
Hullo Bolinas,HalLeonardRealBook-Bb-v1.pdf,183,183,Bb,Steve Swallow,Hullo Bolinas (Bb)
I Can't Get Started With You,HalLeonardRealBook-Bb-v1.pdf,184,184,Bb,Vernon Duke/Ira Gershwin,I Can't Get Started With You (Bb)
I Can't Give You Anything But Love,HalLeonardRealBook-Bb-v1.pdf,185,185,Bb,Jimmy McHugh/Dorothy Fields,I Can't Give You Anything But Love (Bb)
I Could Write A Book,HalLeonardRealBook-Bb-v1.pdf,186,186,Bb,Richard Rodgers/Lorenz Hart,I Could Write A Book (Bb)
I Got It Bad And That Ain't Good,HalLeonardRealBook-Bb-v1.pdf,187,187,Bb,Duke Ellington/Phil Francis Webster,I Got It Bad And That Ain't Good (Bb)
I Let A Song Go Out Of My Heart,HalLeonardRealBook-Bb-v1.pdf,188,188,Bb,Duke Ellington/Henry Nemo/John Redmond/Irving Mills,I Let A Song Go Out Of My Heart (Bb)
I Love Paris,HalLeonardRealBook-Bb-v1.pdf,189,189,Bb,Cole Porter,I Love Paris (Bb)
I Love You,HalLeonardRealBook-Bb-v1.pdf,190,190,Bb,Cole Porter,I Love You (Bb)
I Mean You,HalLeonardRealBook-Bb-v1.pdf,191,191,Bb,Thelonious Monk/Coleman Hawkins,I Mean You (Bb)
I Remember Clifford,HalLeonardRealBook-Bb-v1.pdf,192,193,Bb,Benny Golson,I Remember Clifford (Bb)
I Should Care,HalLeonardRealBook-Bb-v1.pdf,194,194,Bb,Sammy Fain/Axel Sterdsh/Phil Weston,I Should Care (Bb)
I Wish I Knew How It Would Feel To Be Free,HalLeonardRealBook-Bb-v1.pdf,195,195,Bb,Billy Taylor,I Wish I Knew How It Would Feel To Be Free (Bb)
I'll Never Smile Again,HalLeonardRealBook-Bb-v1.pdf,196,196,Bb,Ruth Lowe,I'll Never Smile Again (Bb)
I'll Remember April,HalLeonardRealBook-Bb-v1.pdf,197,197,Bb,Pat Johnson/Don Rave/Gene Dr Paul,I'll Remember April (Bb)
I'm All Smiles,HalLeonardRealBook-Bb-v1.pdf,198,199,Bb,Michael Leonard/Herbert Martin,I'm All Smiles (Bb)
I'm Beginning To See The Light,HalLeonardRealBook-Bb-v1.pdf,200,200,Bb,Don George/Johnny Hodges/Duke Ellington/Harry James,I'm Beginning To See The Light (Bb)
I'm Your Pal,HalLeonardRealBook-Bb-v1.pdf,201,201,Bb,Steve Swallow,I'm Your Pal (Bb)
Icarus,HalLeonardRealBook-Bb-v1.pdf,202,203,Bb,Ralph N. Towner,Icarus (Bb)
If You Never Come To Me,HalLeonardRealBook-Bb-v1.pdf,204,204,Bb,Antonio Carlos Jobim/Aloysid De Oliverira/Ray Gilbert,If You Never Come To Me (Bb)
Impressions,HalLeonardRealBook-Bb-v1.pdf,205,205,Bb,John Coltrane,Impressions (Bb)
In A Mellow Tone,HalLeonardRealBook-Bb-v1.pdf,206,206,Bb,Duke Ellington,In A Mellow Tone (Bb)
In A Sentimental Mood,HalLeonardRealBook-Bb-v1.pdf,207,207,Bb,Duke Ellington,In A Sentimental Mood (Bb)
In The Modd,HalLeonardRealBook-Bb-v1.pdf,208,209,Bb,Joe Garland,In The Modd (Bb)
In The Wee Small Hours Of The Morning,HalLeonardRealBook-Bb-v1.pdf,210,210,Bb,David Mann/Bob Hilliard,In The Wee Small Hours Of The Morning (Bb)
In Your Quiet Place,HalLeonardRealBook-Bb-v1.pdf,211,211,Bb,Keith Jarrett,In Your Quiet Place (Bb)
Inchworm,HalLeonardRealBook-Bb-v1.pdf,212,212,Bb,Frank Losser,Inchworm (Bb)
Indian Lady,HalLeonardRealBook-Bb-v1.pdf,213,213,Bb,Don Ellis,Indian Lady (Bb)
Inner Urge,HalLeonardRealBook-Bb-v1.pdf,214,214,Bb,Joe Henderson,Inner Urge (Bb)
Interplay,HalLeonardRealBook-Bb-v1.pdf,215,215,Bb,Bill Evans,Interplay (Bb)
Intrepid Fox,HalLeonardRealBook-Bb-v1.pdf,216,216,Bb,Freddie Hubbard,Intrepid Fox (Bb)
Invitation,HalLeonardRealBook-Bb-v1.pdf,217,217,Bb,Bronislau Kaper/Paul Francis Webster,Invitation (Bb)
Iris,HalLeonardRealBook-Bb-v1.pdf,218,218,Bb,Wayne Shorter,Iris (Bb)
Isn't It Romantic,HalLeonardRealBook-Bb-v1.pdf,219,219,Bb,Richard Rodgers/Lorenz Hart,Isn't It Romantic (Bb)
Is You Is Or Is You Ain't,HalLeonardRealBook-Bb-v1.pdf,220,221,Bb,Billy Austin/Louis Jordan,Is You Is Or Is You Ain't (Bb)
Isotope,HalLeonardRealBook-Bb-v1.pdf,222,222,Bb,Joe Henderson,Isotope (Bb)
Israel,HalLeonardRealBook-Bb-v1.pdf,223,223,Bb,John Carisi,Israel (Bb)
It Don't Mean A Thing,HalLeonardRealBook-Bb-v1.pdf,224,224,Bb,Duke Ellington/Irving Mills,It Don't Mean A Thing (Bb)
It's Easy To Remember,HalLeonardRealBook-Bb-v1.pdf,225,225,Bb,Richard Rodgers/Lorenz Hart,It's Easy To Remember (Bb)
Jelly Roll,HalLeonardRealBook-Bb-v1.pdf,226,226,Bb,Charles Mingus,Jelly Roll (Bb)
Jordu,HalLeonardRealBook-Bb-v1.pdf,227,227,Bb,Duke Jordan,Jordu (Bb)
Journey To Recife,HalLeonardRealBook-Bb-v1.pdf,228,228,Bb,Richard Evans/Norman Gimbel,Journey To Recife (Bb)
Joy Spring,HalLeonardRealBook-Bb-v1.pdf,229,229,Bb,Clifford Brown,Joy Spring (Bb)
Juju,HalLeonardRealBook-Bb-v1.pdf,230,230,Bb,Wayne Shorter,Juju (Bb)
June In January,HalLeonardRealBook-Bb-v1.pdf,231,231,Bb,Leo Robin/Ralph Ranger,June In January (Bb)
Jump Monk,HalLeonardRealBook-Bb-v1.pdf,232,233,Bb,Charles Mingus,Jump Monk (Bb)
Just One More Chance,HalLeonardRealBook-Bb-v1.pdf,234,234,Bb,Arthur Johnson/Sam Coslow,Just One More Chance (Bb)
Lady Bird,HalLeonardRealBook-Bb-v1.pdf,235,235,Bb,Todd Dameron,Lady Bird (Bb)
KELO,HalLeonardRealBook-Bb-v1.pdf,236,237,Bb,J. J. Johnson,KELO (Bb)
Lady Sings The Blues,HalLeonardRealBook-Bb-v1.pdf,238,238,Bb,Herbert Nichols/Billy Holiday,Lady Sings The Blues (Bb)
Lament,HalLeonardRealBook-Bb-v1.pdf,239,239,Bb,J. J. Johnson,Lament (Bb)
Las Vegas Tango,HalLeonardRealBook-Bb-v1.pdf,240,240,Bb,Gil Evans,Las Vegas Tango (Bb)
Lazy Bird,HalLeonardRealBook-Bb-v1.pdf,241,241,Bb,John Coltrane,Lazy Bird (Bb)
Lazy River,HalLeonardRealBook-Bb-v1.pdf,242,242,Bb,Hoagy Carmichael/Sidney Arodin,Lazy River (Bb)
Like Someone In Love,HalLeonardRealBook-Bb-v1.pdf,243,243,Bb,Jimmy Van Heusen/Johnny Burke,Like Someone In Love (Bb)
Limehouse Blues,HalLeonardRealBook-Bb-v1.pdf,244,244,Bb,Philip Braham/Douglas Furber,Limehouse Blues (Bb)
Little Boat,HalLeonardRealBook-Bb-v1.pdf,245,245,Bb,Roberto Menescal/Ronaldo Bogcoli/Buddy Kaye,Little Boat (Bb)
Lines And Spaces,HalLeonardRealBook-Bb-v1.pdf,246,247,Bb,Joe Lovano,Lines And Spaces (Bb)
Litha,HalLeonardRealBook-Bb-v1.pdf,248,249,Bb,Chick Corea,Litha (Bb)
Little Waltz,HalLeonardRealBook-Bb-v1.pdf,250,250,Bb,Ron Carter,Little Waltz (Bb)
Long Ago And Far Away,HalLeonardRealBook-Bb-v1.pdf,251,251,Bb,Jerome Kern/Ira Gershwin,Long Ago And Far Away (Bb)
Lonnie's Lament,HalLeonardRealBook-Bb-v1.pdf,252,252,Bb,John Coltrane,Lonnie's Lament (Bb)
Look To The Sky,HalLeonardRealBook-Bb-v1.pdf,253,253,Bb,Antonio Carlos Jobim,Look To The Sky (Bb)
Love Is The Sweetest Thing,HalLeonardRealBook-Bb-v1.pdf,254,254,Bb,Ray Nobel,Love Is The Sweetest Thing (Bb)
