After You,14,15
Again,16,16
Agua De Beber (Water To Drink),17,18
Ain't No Sunshine,19,20
Alice In Wonderland,21,22
All About Ronnie,23,23
All My Tomorrows,24,25
All Of You,26,27
All The Way,29,30
All Through The Night,31,32 
Alone Together,33,34 
Am I Blue?,35,35 
And The Angels Sing,36,37
Anything Goes,38,39 
As Time Goes By,40,41 
As We Speak,42,45 
At Last,46,47
At Long Last Love,48,49 
Autumn Nocturne,50,51 
Bag's Groove,52,53 
Baltimore Oriole,54,55
Beautiful Friendship (A),56,56
Begin The Beguine,57,58
Bess You Is My Woman,59,60 
Best Is Yet To Come (The),61,62
Bewitched,63,64 
Bidin' My Time,65,66 
Blackberry Winter,67,68 
Blue And Sentimental,69,69 
Blue Gardenia,70,71 
Blue Room,72,73 
Blues In The Night,74,75
Bluesette,76,77 
Born To Be Blue,78,79
But Not For Me,80,83 
Caught Up In The Rapture,84,85
Charade,86,87 
Christmas Waltz (The),88,88 
Close Enough For Love,89,90 
Close To You,91,92 
Come Fly With Me,93,94 
Continental (The),95,96 
Cottontail,97,98 
Crazy He Calls Me,99,100 
Crazy Rhythm,101,102 
Cute,103,104 
Dancing In The Dark,105,106 
Dancing On The Ceiling,107,108 
Day In  Day Out,109,110
Days Of Wine And Roses,111,111 
Dedicated To You,112,113 
Deep Purple,114,115 
Dock Of The Bay (The),116,117 
Don't Be Blue,118,119 
Don't Worry 'Bout Me,120,121 
Doodlin',122,124 
Doxy,125,126 
Dream Dancing,127,128 
Dreamsville,129,129 
Easy To Love,130,131 
Embraceable You,132,133 
Everything Must Change,134,135 
Falling In Love With Love,136,137 
Fascinating Rhythm,138,139 
Felicidade (A),140,141 
Foggy Day (A),142,143 
Forest Flower,144,145 
From This Moment On,146,147 
Get Here,148,149 
Get Out Of Town,150,151 
Girl From Ipanema (The),152,153 
Give Me The Simple Life,154,155 
Good Bait,156,167 
Good Life (The),158,159 
Have You Met Miss Jone,160,161s 
He Was Too Good To Me,162,163 
Hello,164,165 
Hey There,166,167 
Hot House,168,168 
House Is Not A Home (A),169,170 
How Do You Keep The Music Playing?,171,172 
How Insensitive,173,174 
How Little We Know,175,175 
How Long Has This Been Going On?,176,177 
I Can't Get Started,178,179 
I Concentrate On You,180,181 
I Could Write A Book,182,183 
I Cover The Waterfront,184,185 
I Didn't Know About You,186,187 
I Didn't Know What Time It Was,188,189 
I Get A Kick Out Of You,190,191 
I Got Rhythm,192,193 
I Gotta Right To Sing The Blues,194,195 
I Guess I'll Have To Change My Plan,196,197 
I Had The Craziest Dream,198,199 
I Have The Feeling I've Been Here Before,200,201 
I Love Paris,202,203 
I Love You,204,205 
I Loves You Porgy,206,207 
I May Be Wrong,208,209 
I Only Have Eyes For You,210,211 
I Say A Little Prayer For You,212,213 
I Want To Be Happy,214,215 
I Was Doing All Right,216,217 
I Will Be Here For You,218,221
I Will Wait For You,222,223 
I Wish I Knew,224,225 
I Wish I Were In Love Again,226,227 
If There Is Someone Lovelier Than You,228,229 
I'm A Fool To Want You,230,231
I'm Gonna Laugh You Right Out Of My Life,232,233
In The Days Of Our Love,234,234 
In The Midnight Hour,235,236 
Indian Summer,237,237 
Isn't It A Pity,238,239 
It Ain't Necessarily So,240,241 
It Had To Be You,242,243 
It Never Entered My Mind,244,245 
It Was A Very Good Year,246,246 
It's All Right With Me,247,248 
It's De-Lovely,249,250 
It's Magic,251,252 
It's You Or No One,253,254 
I've Got A Crush On You,255,256
I've Got You Under My Skin,257,258 
Johnny One Note,259,260 
Just One Of Those Things,261,262 
Lady Is A Tramp (The),263,264 
Lester Leaps In,265,265 
Let's Call The Whole Thing Off,266,267
Let's Do It,268,269 
Li'l Darlin',270,271 
Lot Of Living To Do (A),272,273 
Love For Sale,274,275 
Love Is A Many Splendored Thing,276,277 
Love Me Or Leave Me,278,279 
Love Speaks Louder Than Words,280,283 
Love Walked In,284,285
Lover Come Back To Me,286,287 
Lucky To Be Me,288,289 
Lullaby Of Broadway,290,291 
Man I Love (The),292,293 
Man That Got Away (The),294,295 
Meditation,296,297 
Minute By Minute,298,301 
Miss Otis Regrets,302,303 
Moondance,304,305 
More I See You (The),306,307 
Mountain Greenery,308,309 
Mr. Lucky,310,310 
My Funny Valentine,311,312 
My Heart Stood Still,313,314 
My Man's Gone Now,315,316 
Nancy (With The Laughing Face),317,318 
Nice Work If You Can Get It,319,320 
Night And Day,321,322 
Not Like This,323,323 
Of Thee I Sing,324,325 
Oh Lady Be Good,326,327 
Old Country (The),328,328 
Old Folks,329,330 
On A Clear Day,331,332 
On A Misty Night,333,334 
One Hundred Ways,335,336 
Our Delight,337,338 
(Our)Love Is Here To Stay,339,340 
People Make The World Go Round,341,342 
Piano In The Dark,343,346 
Pick Up The Pieces,347,350 
Please Don't Talk About Me When I'm Gone,351,352
Put On A Happy Face,353,353 
