After You,REALBK3.pdf,6,6
After You've Gone,REALBK3.pdf,7,7
Ain't Misbehavin,REALBK3.pdf,8,8
All Or Nothing At All,REALBK3.pdf,9,10
Alanjuneally,REALBK3.pdf,11,11
Along Came Betty,REALBK3.pdf,12,12
Always And Forever,REALBK3.pdf,13,13
Angela,REALBK3.pdf,14,14
Armando's Rhumba,REALBK3.pdf,15,16
Autumn In 3,REALBK3.pdf,17,17
Autumn Nocturne,REALBK3.pdf,18,18
Avalon Place,REALBK3.pdf,19,19
Ballad For Anita,REALBK3.pdf,20,20
Ballad For Trane,REALBK3.pdf,21,21
Beautiful Friendship,REALBK3.pdf,22,22
Be My Love,REALBK3.pdf,23,24
Beside Myself,REALBK3.pdf,25,26
Bess You Is My Woman Now,REALBK3.pdf,27,28
Berrie's Tune,REALBK3.pdf,29,29
Best Thing For You Is Me,REALBK3.pdf,30,30
Better Git It In Your Soul,REALBK3.pdf,31,31
Beyond The Bluebird,REALBK3.pdf,32,32
Blue Daniel,REALBK3.pdf,33,33
Bluebird,REALBK3.pdf,34,34
Blues Backstage,REALBK3.pdf,35,35
Bolivia,REALBK3.pdf,36,36
Bop Shop,REALBK3.pdf,37,38
Bop Boy,REALBK3.pdf,39,39
Born To Be Blue,REALBK3.pdf,40,40
Bossa Rokka,REALBK3.pdf,41,41
Boy Next Door,REALBK3.pdf,42,42
Bad Powell,REALBK3.pdf,43,44
Bud's Blues,REALBK3.pdf,45,45
Busch-Wacked,REALBK3.pdf,46,46
Buzzy,REALBK3.pdf,47,47
By Myself,REALBK3.pdf,48,48
Bye Bye Baby,REALBK3.pdf,49,49
Careful,REALBK3.pdf,50,50
Celia,REALBK3.pdf,51,52
Certain Smile (A),REALBK3.pdf,53,53
Chariots,REALBK3.pdf,54,54
Cheek To Cheek,REALBK3.pdf,55,57
Cheryl,REALBK3.pdf,58,58
Close Enough For Love,REALBK3.pdf,59,59
Compensation,REALBK3.pdf,60,60
Cool Eyes,REALBK3.pdf,61,62
Cry Me A River,REALBK3.pdf,63,63
Day Dream,REALBK3.pdf,64,64
Dacapolypso,REALBK3.pdf,65,66
Day In Day Out,REALBK3.pdf,67,68
Dig,REALBK3.pdf,69,70
Don't Ask Why,REALBK3.pdf,71,71
Don't Ever Go Away,REALBK3.pdf,72,72
Don't Look Back,REALBK3.pdf,73,74
Double Clutching,REALBK3.pdf,75,75
