Song,Title,Book,Length,Offset,Start,End
FOOTPRINTS                     ,FOOTPRINTS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,105,105
FOUR                           ,FOUR - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,106,107
FOUR BROTHERS                  ,FOUR BROTHERS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,108,108
FOUR ON SIX                    ,FOUR ON SIX - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,109,109
FRIENDS AND STRANGERS          ,FRIENDS AND STRANGERS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,110,111
FUNKALLERO                     ,FUNKALLERO - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,113,113
GAVIOTA                        ,GAVIOTA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,114,115
GEE BABY  AIN'T I GOOD TO YOU  ,GEE BABY AIN'T I GOOD TO YOU - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,117,117
GEMINI                         ,GEMINI - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,118,119
GLORIA'S STEP                  ,GLORIA'S STEP - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,121,121
GOIN' HOME                     ,GOIN' HOME - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,122,123
GONE WITH THE WIND             ,GONE WITH THE WIND - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,125,125
THE GOODBYE LOOK               ,THE GOODBYE LOOK - Bb Item nrb1,The New Real Book Eb I.pdf,4,0,126,129
GUARLTJA                       ,GUARLTJA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,130,131
HALLUCINATIONS                 ,HALLUCINATIONS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,132,133
HAUNTED BALLROOM               ,HAUNTED BALLROOM - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,135,135
HAVONA                         ,HAVONA - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,136,136
HERE'S THAT RAINY DAY          ,HERE'S THAT RAINY DAY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,137,137
HIDEAWAY                       ,HIDEAWAY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,138,138
I LOVE LUCY                    ,I LOVE LUCY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,139,139
I MEAN YOU                     ,I MEAN YOU - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,140,141
I SHOULD CARE                  ,I SHOULD CARE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,142,142
I THOUGHT ABOUT YOU            ,I THOUGHT ABOUT YOU - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,143,143
IF I VVERE A BELL              ,IF I VVERE A BELL - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,144,145
IF YOU NEVER COME TO ME        ,IF YOU NEVER COME TO ME - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,147,147
I'LL TAKE ROMANCE              ,I'LL TAKE ROMANCE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,148,149
I'M ALL SMILES                  ,I'M ALL SMILES - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,150,151
IMAGINATION                    ,IMAGINATION - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,152,152
IN WALKED BUD                  ,IN WALKED BUD - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,153,153
THE ISLAND                     ,THE ISLAND - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,154,155
IT HAPPENS EVERY DAY           ,IT HAPPENS EVERY DAY - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,156,157
JERSEY BOUNCE                  ,JERSEY BOUNCE - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,159,159
JOSHUA                         ,JOSHUA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,160,161
KEEP THAT SAME OLD FEELING     ,KEEP THAT SAME OLD FEELING - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,162,163
KILLING ME SOFTLY WITH HIS SONG,KILLING ME SOFTLY WITH HIS SONG - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,165,165
LA SAMBA                       ,LA SAMBA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,166,167
LA VIDA FELIZ                  ,LA VIDA FELIZ - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,168,169
LADY BIRD                      ,LADY BIRD - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,170,171
LAST FIRST                     ,LAST FIRST - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,172,173
LAST TRAIN FROM OVERBROOK      ,LAST TRAIN FROM OVERBROOK - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,174,174
LAURIE                         ,LAURIE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,175,175
LET ME BE THE ONE              ,LET ME BE THE ONE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,176,177
LETS GO DANCIN'                ,LETS GO DANCIN' - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,178,178
LIKE SOMEONE IN LOVE           ,LIKE SOMEONE IN LOVE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,179,179
LINE FOR LYONS                 ,LINE FOR LYONS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,180,180
LITTLE SUNFLOWER               ,LITTLE SUNFLOWER - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,181,181
A LITTLE TEAR                  ,A LITTLE TEAR - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,183,183
LITTLE WALTZ                   ,LITTLE WALTZ - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,184,184
LOVE CAME ON STEALTHY FINGERS  ,LOVE CAME ON STEALTHY FINGERS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,185,185
LOVE DANCE                     ,LOVE DANCE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,186,187
LUSH LIFE                      ,LUSH LIFE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,188,189
MADAGASCAR                     ,MADAGASCAR - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,190,190
MAKE ME A MEMORY (Sad Samba)   ,MAKE ME A MEMORY (Sad Samba) - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,191,191
MATINEE IDOL                   ,MATINEE IDOL - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,192,192
MERCY  MERCY  MERCY            ,MERCY MERCY MERCY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,193,193
THE MIDNIGHT SUN               ,THE MIDNIGHT SUN - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,194,194
THE MIDNIGHT SUN WILL NEVER SET,THE MIDNIGHT SUN WILL NEVER SET - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,195,195
MODADJI                        ,MODADJI - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,196,197
MONKEY'S UNCLE                 ,MONKEY'S UNCLE - Bb Item nrb1,The New Real Book Eb I.pdf,-1,0,198,196
MONK'S MOOD                      ,MONK'S MOOD - Bb Item nrb1,The New Real Book Eb I.pdf,3,0,197,199
MOONLIGHT IN VERMONT             ,MOONLIGHT IN VERMONT - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,201,201
MORNN'                           ,MORNN' - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,202,203
MORNING DANCE                    ,MORNING DANCE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,204,205
MR. CLEAN                        ,MR. CLEAN - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,207,207
MR. GONE                         ,MR. GONE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,208,209
MY ATTORNEY BERNIE               ,MY ATTORNEY BERNIE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,210,211
MY SHINING HOUR                  ,MY SHINING HOUR - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,212,212
NATURE BOY                       ,NATURE BOY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,213,213
NEFERTITI                      ,NEFERTITI - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,215,215
NEVER GIVIN' UP                    ,NEVER GIVIN' UP - Bb Item nrb1,The New Real Book Eb I.pdf,3,0,216,218
NEVER MAKE YOUR MOVE TOO SOON    ,NEVER MAKE YOUR MOVE TOO SOON - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,219,219
NIGERIAN MARKETPLACE             ,NIGERIAN MARKETPLACE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,220,220
NIGHTLAKE                        ,NIGHTLAKE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,221,221
NO ME ESQUECA                    ,NO ME ESQUECA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,222,223
NOT ETHIOPIA                     ,NOT ETHIOPIA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,224,225
NOTHING PERSONAL                 ,NOTHING PERSONAL - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,226,226
OFF MINOR                        ,OFF MINOR - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,227,227
OLEO                             ,OLEO - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,228,228
ONCE I LOVED                     ,ONCE I LOVED - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,229,229
ONE FAMILY                       ,ONE FAMILY - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,230,231
ONE FOR MY BABY (And One More For,ONE FOR MY BABY (And One More For - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,232,233
OUT OF THIS WORLD                ,OUT OF THIS WORLD - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,234,235
O.Z                              ,O.Z - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,236,237
PAPA LIPS                        ,PAPA LIPS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,238,239
PARTIDO ALTO                     ,PARTIDO ALTO - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,240,241
PENT UP HOUSE                    ,PENT UP HOUSE - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,243,243
PLAZA REAL                       ,PLAZA REAL - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,244,245
POLKADOTS AND MOONBEAMS          ,POLKADOTS AND MOONBEAMS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,246,247
PORTRAIT OF TRACY                ,PORTRAIT OF TRACY - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,249,249
PROMENADE                        ,PROMENADE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,250,251
PUT IT WHERE YOU WANT IT         ,PUT IT WHERE YOU WANT IT - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,252,252
P.Y.T. (Pretty Young Thing)      ,P.Y.T. (Pretty Young Thing) - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,253,253
QUINTESSENCE                     ,QUINTESSENCE - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,255,255
RAPTURE                          ,RAPTURE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,256,256
RE: PERSON I KNEW                ,RE: PERSON I KNEW - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,257,257
REINCARNATION OF A LOVEBIRD      ,REINCARNATION OF A LOVEBIRD - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,258,259
REMEMBER ROCKEFELLER AT ATTICA   ,REMEMBER ROCKEFELLER AT ATTICA - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,261,261
RIO                              ,RIO - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,262,263
RIVER PEOPLE                     ,RIVER PEOPLE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,264,264
ROBBINS NEST                     ,ROBBINS NEST - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,265,265
RUBY MY DEAR                    ,RUBY MY DEAR - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,267,267
RUSH HOUR                        ,RUSH HOUR - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,268,268
SAFARI                           ,SAFARI - Bb Item nrb1,The New Real Book Eb I.pdf,3,0,269,271
SANDU                            ,SANDU - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,272,272
SATIN DOLL                       ,SATIN DOLL - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,273,273
SAVE YOUR LOVE FOR ME            ,SAVE YOUR LOVE FOR ME - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,274,275
SEARCH FOR PEACE                 ,SEARCH FOR PEACE - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,277,277
SELF PORTRAIT IN THREE COLORS    ,SELF PORTRAIT IN THREE COLORS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,278,279
SHAKER SONG                      ,SHAKER SONG - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,280,281
SHAW 'NUFF                       ,SHAW 'NUFF - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,282,283
SIMPLE SAMBA                     ,SIMPLE SAMBA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,284,285
SKYLARK                          ,SKYLARK - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,286,286
A SLEEPIN' BEE                   ,A SLEEPIN' BEE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,287,287
SMALL DAY TOMORROW               ,SMALL DAY TOMORROW - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,288,289
SOLAR                            ,SOLAR - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,290,290
SOMEDAY MY PRINCE WILL COME      ,SOMEDAY MY PRINCE WILL COME - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,291,291
SONG FOR LORRAINE                ,SONG FOR LORRAINE - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,293,293
SONJA'S SANF'ONA                 ,SONJA'S SANF'ONA - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,294,295
SOUL SAUCE (Wachi Wara)          ,SOUL SAUCE (Wachi Wara) - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,296,296
SPEAK NO EVIL                  ,SPEAK NO EVIL - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,297,297
SPIRAL                         ,SPIRAL - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,298,299
ST. THOMAS                     ,ST. THOMAS - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,301,301
STICKY WICKET                  ,STICKY WICKET - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,302,303
STREET LIFE                    ,STREET LIFE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,304,305
SUDDEN SAMBA                   ,SUDDEN SAMBA - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,307,307
SUNRUNNER                      ,SUNRUNNER - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,308,309
"TAKE THE ""A"" TRAIN             ","TAKE THE ""A"" TRAIN - Bb Item nrb1",The New Real Book Eb I.pdf,2,0,310,311
TENDERLY                       ,TENDERLY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,312,312
THEME FOR ERNIE                ,THEME FOR ERNIE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,313,313
THERE WILL NEVER BE ANOTHER YOU,THERE WILL NEVER BE ANOTHER YOU - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,314,314
THESE FOOLISH THINGS           ,THESE FOOLISH THINGS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,315,315
THIS MASQUERADE                ,THIS MASQUERADE - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,317,317
THE THREE MARIAS               ,THE THREE MARIAS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,318,319
THREE VIEWS OF A SECRET        ,THREE VIEWS OF A SECRET - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,320,321
TIME REMEMBERS ONE TIME ONCE   ,TIME REMEMBERS ONE TIME ONCE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,322,322
TRISTE                         ,TRISTE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,323,323
TUNE UP                        ,TUNE UP - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,325,325
TURN YOUR LOVE AROUND          ,TURN YOUR LOVE AROUND - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,326,327
TWISTED                        ,TWISTED - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,328,329
UNIT SEVEN                     ,UNIT SEVEN - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,330,331
UP JUMPED SPRING               ,UP JUMPED SPRING - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,333,333
VELAS (Velas Icadas)           ,VELAS (Velas Icadas) - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,334,335
VERY EARLY                     ,VERY EARLY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,336,336
VOYAGE                         ,VOYAGE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,337,337
WALTZ FOR DEBBY                ,WALTZ FOR DEBBY - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,338,339
WALTZ NEW                      ,WALTZ NEW - Bb Item nrb1,The New Real Book Eb I.pdf,1,1,341,341
WATERWINGS                     ,WATERWINGS - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,342,343
WAVE                           ,WAVE - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,344,345
A WEAVER OF DREAMS             ,A WEAVER OF DREAMS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,346,346
WE'LL BE TOGETHER AGAIN        ,WE'LL BE TOGETHER AGAIN - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,347,347
WELL  YOU NEEDN'T              ,WELL YOU NEEDN'T - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,348,348
WEST COAST BLUES               ,WEST COAST BLUES - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,349,349
WHATS NEW?                     ,WHATS NEW? - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,350,350
WHERE IS LOVE?                 ,WHERE IS LOVE? - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,351,351
WHO CAN I TURN TO?             ,WHO CAN I TURN TO? - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,352,352
WILDFLOWER                     ,WILDFLOWER - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,353,353
WILLOW WEEP FOR ME             ,WILLOW WEEP FOR ME - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,354,354
WITCHCRAFT                     ,WITCHCRAFT - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,355,355
YES AND NO                     ,YES AND NO - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,356,356
YOUNG RABBITS                  ,YOUNG RABBITS - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,357,357
YOUR MIND IS ON VACATION       ,YOUR MIND IS ON VACATION - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,358,358
ALL OR NOTHING AT ALL,ALL OR NOTHING AT ALL - Bb Item nrb1,The New Real Book Eb I.pdf,2,11,370,371
DO NOTHING ’TIL YOU HEAR FROM ME,DO NOTHING ’TIL YOU HEAR FROM ME - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,372,372
DON’T GET AROUND MUCH ANYMORE,DON’T GET AROUND MUCH ANYMORE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,373,373
GOOD MORNING HEARTACHE,GOOD MORNING HEARTACHE - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,374,374
MISTY,MISTY - Bb Item nrb1,The New Real Book Eb I.pdf,1,0,375,375
SPEAK LOW,SPEAK LOW - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,376,377
STORMY WEATHER,STORMY WEATHER - Bb Item nrb1,The New Real Book Eb I.pdf,2,0,378,379
AFFIRMATION             ,AFFIRMATION - Bb Page nrb1,The New Real Book Eb I.pdf,1,0,14,
AIREGN                  ,AIREGN - Bb Page nrb1,The New Real Book Eb I.pdf,1,0,15,
ALL OF ME               ,ALL OF ME - Bb Page nrb1,The New Real Book Eb I.pdf,1,1,17,
ALWAYS THERE            ,ALWAYS THERE - Bb Page nrb1,The New Real Book Eb I.pdf,2,0,18,
ANA MARIA               ,ANA MARIA - Bb Page nrb1,The New Real Book Eb I.pdf,2,0,20,
ANGEL EYES              ,ANGEL EYES - Bb Page nrb1,The New Real Book Eb I.pdf,2,0,22,
ANTHROPOLOGY            ,ANTHROPOLOGY - Bb Page nrb1,The New Real Book Eb I.pdf,1,0,24,
AUTUMN LEAVES           ,AUTUMN LEAVES - Bb Page nrb1,The New Real Book Eb I.pdf,1,0,25,
BABY  I LOVE YOU        ,BABY I LOVE YOU - Bb Page nrb1,The New Real Book Eb I.pdf,2,0,26,
BASIN STREET BLUES      ,BASIN STREET BLUES - Bb Page nrb1,The New Real Book Eb I.pdf,1,0,28,
BEAUTIFUL LOVE          ,BEAUTIFUL LOVE - Bb Page nrb1,The New Real Book Eb I.pdf,1,0,29,
BERNIE'S TUNE           ,BERNIE'S TUNE - Bb Page nrb1,The New Real Book Eb I.pdf,1,0,30,
BIRD FOOD               ,BIRD FOOD - Bb Page nrb1,The New Real Book Eb I.pdf,1,0,31,
BLACK ICE               ,BLACK ICE - Bb Page nrb1,The New Real Book Eb I.pdf,2,0,32,
BLACK NARCISSUS         ,BLACK NARCISSUS - Bb Page nrb1,The New Real Book Eb I.pdf,1,1,35,
